UserID,Timestamp,Device,IP Address,Location
emp007,2025-01-06 02:00:00,Laptop,192.168.190.85,New York
emp020,2025-01-08 07:00:00,Laptop,192.168.50.152,New York
emp015,2025-01-03 02:00:00,Desktop,192.168.185.62,New York
emp011,2025-01-07 02:00:00,Laptop,192.168.189.124,New York
emp008,2025-01-08 14:00:00,Mobile,192.168.149.57,Remote
emp007,2025-01-03 02:00:00,Mobile,192.168.57.85,Chicago
emp019,2025-01-04 04:00:00,Laptop,192.168.48.179,New York
emp011,2025-01-09 22:00:00,Laptop,192.168.169.69,New York
emp011,2025-01-09 13:00:00,Mobile,192.168.14.53,Remote
emp004,2025-01-09 08:00:00,Mobile,192.168.234.187,Remote
emp008,2025-01-04 14:00:00,Desktop,192.168.100.224,San Francisco
emp003,2025-01-06 09:00:00,Mobile,192.168.7.52,New York
emp002,2025-01-05 12:00:00,Desktop,192.168.59.235,San Francisco
emp012,2025-01-03 06:00:00,Desktop,192.168.107.4,Remote
emp006,2025-01-07 19:00:00,Desktop,192.168.102.195,Remote
emp002,2025-01-08 03:00:00,Desktop,192.168.5.108,Chicago
emp001,2025-01-09 04:00:00,Desktop,192.168.223.115,New York
emp012,2025-01-07 06:00:00,Laptop,192.168.93.46,San Francisco
emp012,2025-01-05 14:00:00,Mobile,192.168.98.54,Remote
emp017,2025-01-07 03:00:00,Desktop,192.168.167.51,Remote
emp010,2025-01-05 06:00:00,Mobile,192.168.143.12,San Francisco
emp016,2025-01-08 18:00:00,Mobile,192.168.113.123,Chicago
emp015,2025-01-04 01:00:00,Desktop,192.168.105.157,Remote
emp015,2025-01-08 12:00:00,Laptop,192.168.146.144,New York
emp019,2025-01-08 20:00:00,Desktop,192.168.119.62,Remote
emp012,2025-01-06 11:00:00,Laptop,192.168.18.91,New York
emp020,2025-01-08 19:00:00,Mobile,192.168.57.182,San Francisco
emp003,2025-01-04 10:00:00,Laptop,192.168.89.228,New York
emp005,2025-01-06 22:00:00,Laptop,192.168.217.116,San Francisco
emp019,2025-01-08 06:00:00,Laptop,192.168.61.22,New York
emp007,2025-01-03 00:00:00,Mobile,192.168.126.136,San Francisco
emp009,2025-01-07 19:00:00,Mobile,192.168.139.244,New York
emp007,2025-01-05 08:00:00,Laptop,192.168.128.57,Chicago
emp018,2025-01-08 06:00:00,Laptop,192.168.121.0,New York
emp004,2025-01-05 07:00:00,Desktop,192.168.238.33,New York
